Age,Household_Income,Credit_Score_Range,Vehicle_Year,Current_Mileage,Lead_Score,Purchased,Car_Make,Car_Model,Ownership_Type,Marital_Status,Education_Level,Homeowner_Status,Employment_Status,Gender,Preferred_Contact_Method,Lead_Source,Device_Type,Insurance_Status,Do_Not_Call,Email_Opt_In,Visited_Website_Last_30_Days,Clicked_Email_Last_30_Days,Opened_Email_Last_30_Days,Region,Zip_Code,Phone_Valid,Email_Valid,Vehicle_Use,Language_Preference,Military_Status,Has_Children,Outdoor_Activity_Level,Purchase_Intention,Number_of_Vehicles,Years_in_Current_Home,Past_Warranty_Purchase,Service_History,Recent_Move,Household_Size,Estimated_Home_Value,Estimated_Rent,Utilities_Included,Subscribed_To_Competitor,Warranty_Interest_Level,Credit_Card_Holder,Bank_Loan,Social_Media_Engagement,Online_Shopping_Frequency,Mobile_App_User,Streaming_Services_User,Data_Sharing_Consent
54,150K+,700-749,2008,6556,53,1,Nissan,Silverado,Owned,Married,Doctorate,Homeowner,Retired,Male,Mail,Website,Desktop,Yes,Yes,Yes,Yes,Yes,No,Midwest,68878,No,Yes,Personal,Other,Active Duty,No,Medium,High,2,21,Yes,Regular,No,1,200-400K,1000-1500,No,Yes,Low,No,Yes,Medium,High,No,No,Yes
25,100-150K,700-749,2007,12012,53,0,Chevrolet,Altima,Owned,Married,High School,Renter,Self-Employed,Female,Text,Referral,Mobile,No,Yes,No,Yes,Yes,Yes,Midwest,70589,No,No,Mixed,Other,None,Yes,High,Medium,1,14,Yes,Occasional,No,3,<100K,500-1000,No,Yes,Low,No,No,Low,Medium,Yes,No,Yes
20,150K+,700-749,2012,195294,54,1,Kia,Sorento,Financed,Widowed,Master's Degree,Renter,Self-Employed,Male,Email,Email Campaign,Mobile,Yes,Yes,Yes,Yes,Yes,No,Northeast,60432,No,No,Mixed,Spanish,None,Yes,High,Low,1,34,No,None,No,1,200-400K,1500-2000,Yes,No,High,No,Yes,Low,High,No,Yes,Yes
48,50-75K,650-699,2016,199887,44,1,Honda,Sorento,Leased,Single,Master's Degree,Renter,Unemployed,Male,Phone,Event,Mobile,Yes,Yes,Yes,Yes,Yes,No,Northeast,79822,Yes,Yes,Mixed,Spanish,None,Yes,Medium,Low,5,27,Yes,None,Yes,6,200-400K,1500-2000,No,No,Low,No,Yes,High,High,Yes,No,Yes
69,<30K,600-649,2023,145207,42,0,Chevrolet,Jetta,Owned,Single,High School,Living with Family,Employed Full-Time,Male,Phone,Website,Mobile,Yes,Yes,No,No,Yes,Yes,West,41850,No,No,Personal,English,Veteran,No,Medium,Medium,4,29,Yes,None,Yes,1,400-600K,1000-1500,Yes,Yes,High,Yes,No,High,Medium,Yes,No,No
40,50-75K,650-699,2012,19761,28,1,Hyundai,Sorento,Owned,Single,Doctorate,Living with Family,Employed Full-Time,Male,Email,Referral,Mobile,No,No,Yes,No,Yes,Yes,West,10282,No,No,Business,Spanish,Active Duty,No,Low,High,3,13,Yes,None,Yes,6,200-400K,<500,Yes,No,Low,Yes,Yes,Low,High,Yes,Yes,Yes
69,30-50K,<600,2012,105847,38,1,Ford,Jetta,Owned,Single,Master's Degree,Homeowner,Unemployed,Other,Text,Event,Desktop,No,Yes,No,No,Yes,No,West,51441,Yes,Yes,Business,Other,None,Yes,Low,Low,2,32,No,Regular,No,1,100-200K,1000-1500,No,Yes,Medium,No,Yes,Low,Low,No,Yes,Yes
73,50-75K,600-649,2013,30258,64,0,Ford,Sorento,Owned,Divorced,Associate Degree,Living with Family,Employed Part-Time,Other,Text,Referral,Tablet,No,No,No,Yes,Yes,No,South,15778,Yes,No,Personal,Other,Active Duty,Yes,High,Medium,5,27,Yes,Regular,Yes,6,100-200K,2000+,Yes,No,Low,Yes,No,High,High,No,No,Yes
22,100-150K,600-649,2016,55070,32,0,Chevrolet,F-150,Financed,Widowed,Master's Degree,Living with Family,Employed Part-Time,Male,Email,Referral,Mobile,Yes,Yes,No,No,Yes,No,Midwest,24168,No,Yes,Business,English,Veteran,No,Medium,Medium,2,14,Yes,None,Yes,4,200-400K,1000-1500,Yes,No,Medium,No,No,High,High,No,Yes,No
65,30-50K,800+,2006,28417,75,0,Volkswagen,C-Class,Financed,Divorced,Bachelor's Degree,Living with Family,Retired,Male,Mail,Email Campaign,Desktop,No,Yes,No,Yes,Yes,No,West,19171,No,No,Mixed,English,None,No,High,Medium,4,20,No,None,No,5,100-200K,500-1000,No,No,Low,Yes,No,Medium,Low,Yes,No,No
